country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website,year,month,day,month_ab,month_name
Oman,OMN,2021-01-11,18287.0,18287.0,,2380.0,1080.0,0.35,0.35,,207.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/,2021,1,11,Jan,January
Ireland,IRL,2021-01-04,5421.0,5391.0,31.0,1189.0,743.0,0.11,0.11,0.0,149.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Heath Service Executive,https://covid19ireland-geohive.hub.arcgis.com/,2021,1,4,Jan,January
Turkey,TUR,2021-11-21,119327719.0,56038139.0,50037605.0,55435.0,137241.0,140.32,65.89,58.84,1614.0,"Pfizer/BioNTech, Sinovac, Turkovac",COVID-19 Vaccine Information Platform,https://covid19asi.saglik.gov.tr/,2021,11,21,Nov,November
Moldova,MDA,2021-12-15,1698522.0,,960828.0,,4954.0,42.21,,23.88,1231.0,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,https://vaccinare.gov.md,2021,12,15,Dec,December
Eswatini,SWZ,2022-01-17,440245.0,352664.0,,,3145.0,37.55,30.08,,2683.0,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/,2022,1,17,Jan,January
Gibraltar,GIB,2021-05-31,,,,,174.0,,,,5165.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Gibraltar,https://twitter.com/GibraltarGov/status/1507008369005015050,2021,5,31,May,May
Laos,LAO,2022-03-05,,,,,31321.0,,,,4244.0,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik Light, Sputnik V",World Health Organization,https://www.covid19.gov.la/index.php,2022,3,5,Mar,March
Lebanon,LBN,2022-02-15,5059760.0,2469980.0,2097717.0,12120.0,9466.0,74.75,36.49,30.99,1398.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Lebanon,https://impact.cib.gov.lb/home/dashboard/vaccine,2022,2,15,Feb,February
Malaysia,MYS,2022-01-22,62179354.0,26057318.0,25696777.0,160082.0,202221.0,189.71,79.5,78.4,6170.0,"CanSino, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",Government of Malaysia,https://github.com/MoH-Malaysia/covid19-public,2022,1,22,Jan,January
Northern Cyprus,OWID_CYN,2021-11-02,,,,,772.0,,,,2020.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://asi.saglik.gov.ct.tr/,2021,11,2,Nov,November
